frequency_hz,reference_s11_db,rebuilt_s11_db,delta_s11_db,delta_s11_complex,delta_s11_phase_deg,reference_s21_db,rebuilt_s21_db,delta_s21_db,delta_s21_complex,delta_s21_phase_deg,reference_s12_db,rebuilt_s12_db,delta_s12_db,delta_s12_complex,delta_s12_phase_deg,reference_s22_db,rebuilt_s22_db,delta_s22_db,delta_s22_complex,delta_s22_phase_deg
1000000000.0,-29.46006946905292,-29.460069469132964,-8.004263918337529e-11,3.2268904752229247e-13,1.5199930203380063e-10,-0.18886024467706775,-0.18886024467701457,5.3179682879545e-14,3.4814344149408e-14,1.9895196601282805e-12,-0.18886024467706775,-0.18886024467701457,5.3179682879545e-14,3.4814344149408e-14,1.9895196601282805e-12,-29.524168265292076,-29.524168265354795,-6.271960728554404e-11,3.166817354191526e-13,-3.5200287129555363e-10
1050000000.0,-29.337252992085343,-29.337252992127407,-4.206412995699793e-11,3.3026251208744567e-13,4.799858288606629e-10,-0.19819799736506963,-0.19819799737808863,-1.3019002542691283e-11,1.6022001907388135e-12,3.802824721788056e-11,-0.19819799736509727,-0.19819799737808863,-1.2991357989378116e-11,1.5924129513958763e-12,3.700506567838602e-11,-29.399042453901124,-29.399042453952692,-5.156763904778927e-11,3.1102031243504325e-13,-4.0100189835357014e-10
1100000000.0,-29.258791844110217,-29.258791844117177,-6.959766096770181e-12,4.2287235987367575e-13,7.02016222930979e-10,-0.20752359420171645,-0.20752359422265748,-2.0941026690479703e-11,2.5942609520005e-12,6.400568963726982e-11,-0.207523594201752,-0.20752359422264957,-2.0897561459065628e-11,2.5971770721580215e-12,6.502887117676437e-11,-29.317650254458407,-29.31765025449827,-3.986144747614162e-11,2.988859642237958e-13,-4.2601300265232567e-10
1150000000.0,-29.22528602197071,-29.22528602194662,2.4090951455946197e-11,5.123137883200514e-13,8.340066415257752e-10,-0.21681914468940483,-0.21681914471411645,-2.471162163786289e-11,3.106201464081746e-12,8.199663170671556e-11,-0.21681914468944835,-0.21681914471409966,-2.465130877205013e-11,3.100152996742662e-12,8.199663170671556e-11,-29.28051252523236,-29.280512525259894,-2.7533531010703882e-11,2.826252121165403e-13,-4.3499426283233333e-10
1200000000.0,-29.23775269210413,-29.23775269205389,5.0242476845596684e-11,5.72801457019749e-13,8.909921689337352e-10,-0.22607081389945588,-0.22607081392471146,-2.5255575408777986e-11,3.219682461057031e-12,8.998313205665909e-11,-0.22607081389950043,-0.22607081392469366,-2.5193236385945283e-11,3.2218462715944634e-12,9.100631359615363e-11,-29.28855069688558,-29.28855069690031,-1.4729550912306877e-11,2.6583801946965983e-13,-4.3300474317220505e-10
1250000000.0,-29.297662912642785,-29.297662912571827,7.09583503066824e-11,6.006879746747318e-13,8.880078894435428e-10,-0.23526850677773048,-0.23526850680121947,-2.3488988531994437e-11,3.0522804520703974e-12,9.100631359615363e-11,-0.23526850677777605,-0.23526850680119277,-2.341671301309134e-11,3.045210900817909e-12,9.097789188672323e-11,-29.343115232260025,-29.343115232261532,-1.5063505998114124e-12,2.5426043085276783e-13,-4.270077624823898e-10
1300000000.0,-29.406997084982272,-29.406997084896354,8.591882760811131e-11,5.992816516653595e-13,8.41026803755085e-10,-0.2444055295643091,-0.24440552958449124,-2.0182133741997177e-11,2.671258994652556e-12,8.401457307627425e-11,-0.2444055295643458,-0.24440552958446343,-2.0117629784266455e-11,2.665311508799694e-12,8.401457307627425e-11,-29.446029557399477,-29.44602955738762,1.1855405546157272e-11,2.5073419457865623e-13,-4.189928404230159e-10
1350000000.0,-29.56832318471249,-29.568323184617384,9.510614518148941e-11,5.711865260277872e-13,7.59001750338939e-10,-0.25347824072378355,-0.25347824073982755,-1.604399946231183e-11,2.169929345215349e-12,7.199218998721335e-11,-0.25347824072381037,-0.25347824073980074,-1.5990375690222436e-11,2.1649594138820097e-12,7.199218998721335e-11,-29.59965187824047,-29.59965187821545,2.5018209726113128e-11,2.5812450138193526e-13,-4.150138011027593e-10
1400000000.0,-29.784903686060247,-29.78490368596164,9.86055681551079e-11,5.226458736364969e-13,6.559730536537245e-10,-0.2624857016282799,-0.26248570163990076,-1.1620870932205207e-11,1.5976760053014603e-12,5.4996007747831754e-11,-0.26248570162829876,-0.2624857016398739,-1.1575129743590651e-11,1.593596448176503e-12,5.4996007747831754e-11,-29.80695818741396,-29.80695818737633,3.7630343285854906e-11,2.748384991654433e-13,-4.189928404230159e-10
1450000000.0,-30.06083962946777,-30.060839629371014,9.675815704213164e-11,4.59270771704982e-13,5.429967586678686e-10,-0.27142933496843946,-0.27142933497577915,-7.33968441579691e-12,1.0307102974687192e-12,3.700506567838602e-11,-0.2714293349684494,-0.2714293349757612,-7.311817817878818e-12,1.0283383351467613e-12,3.700506567838602e-11,-30.07165064949357,-30.0716506494443,4.926903329760535e-11,2.963536225686666e-13,-4.3300474317220505e-10
1500000000.0,-30.401263704982554,-30.401263704892546,9.000800105241069e-11,3.8646334942425596e-13,4.303899459046079e-10,-0.28031259658569196,-0.2803125965892177,-3.5257352593021096e-12,4.870864429253851e-13,1.7024603948812e-11,-0.28031259658570096,-0.28031259658919083,-3.489875055606717e-12,4.837978782254378e-13,1.7024603948812e-11,-30.39829611153469,-30.398296111475283,5.940847813690198e-11,3.1777188030753113e-13,-4.579874257615302e-10
1550000000.0,-30.812598689776895,-30.812598689697907,7.898748322077154e-11,3.087505820027485e-13,3.2531488614040427e-10,-0.2891406642204243,-0.28914066422076623,-3.419486915845482e-13,4.154504633962557e-14,-9.947598300641403e-13,-0.2891406642204243,-0.2891406642207573,-3.330113962363157e-13,4.0631188442206974e-14,-9.947598300641403e-13,-30.792498858783965,-30.792498858716407,6.755840331607033e-11,3.3640656544297383e-13,-4.973230716132093e-10
1600000000.0,-31.302902851094892,-31.302902851030527,6.436451371882868e-11,2.3078552735334864e-13,2.360991402383661e-10,-0.2979201446508518,-0.2979201446487661,2.0857204852120503e-12,3.8193986925086847e-13,-1.7990942069445737e-11,-0.2979201446508518,-0.2979201446487661,2.0857204852120503e-12,3.8193986925086847e-13,-1.7990942069445737e-11,-31.26110772279302,-31.261107722719977,7.30437932361383e-11,3.490365618420591e-13,-5.500169208971784e-10
