frequency_hz,s11_real,s11_imag,s11_db,s11_phase_deg,s21_real,s21_imag,s21_db,s21_phase_deg,s12_real,s12_imag,s12_db,s12_phase_deg,s22_real,s22_imag,s22_db,s22_phase_deg
1000000000.0,-0.02740027480438846,0.019534768755446113,-29.46006946905292,144.513386554487,-0.3806143849773414,-0.9014310836956516,-0.18886024467706775,-112.891099168122,-0.3806143849773414,-0.9014310836956516,-0.18886024467706775,-112.891099168122,-0.02793851495991317,0.018309320098589064,-29.524168265292076,146.761436823046
1050000000.0,-0.026051154805364966,0.022049941743774077,-29.337252992085343,139.755110645933,-0.4669049103403328,-0.8587134123879381,-0.19819799736506963,-118.534080505776,-0.4669049103403161,-0.8587134123879436,-0.19819799736509727,-118.534080505775,-0.026746044072889035,0.02080999578015538,-29.399042453901124,142.114984212641
1100000000.0,-0.024357856446927374,0.024347350784179315,-29.258791844110217,135.012358640099,-0.5484961205662902,-0.8077695351504615,-0.20752359420171645,-124.177505012996,-0.5484961205662879,-0.8077695351504581,-0.207523594201752,-124.177505012996,-0.025215153850004626,0.023115543145534618,-29.317650254458407,137.487513044502
1150000000.0,-0.022358710968002106,0.026369923145087057,-29.22528602197071,130.294173076267,-0.6246102193451998,-0.749108379069766,-0.21681914468940483,-129.821512102992,-0.6246102193451967,-0.7491083790697622,-0.21681914468944835,-129.821512102992,-0.023380474876723786,0.025170116107817414,-29.28051252523236,132.88895493957
1200000000.0,-0.020101452194683806,0.028067600706160177,-29.23775269210413,125.60947810732802,-0.6945234573998121,-0.6833111150433735,-0.22607081389945588,-135.466242993344,-0.6945234573998086,-0.6833111150433699,-0.22607081389950043,-135.466242993344,-0.0212858441465306,0.026924187306415756,-29.28855069688558,128.329348650604
1250000000.0,-0.017641933744848782,0.02939884609039118,-29.297662912642785,120.96751963443299,-0.7575726242232953,-0.6110256426040983,-0.23526850677773048,-141.111838631933,-0.7575726242232805,-0.6110256426041085,-0.23526850677777605,-141.111838631932,-0.018983168876601876,0.028336029899408716,-29.343115232260025,123.81933428340702
1300000000.0,-0.015042615849611822,0.030331913637744703,-29.406997084982272,116.37835922120499,-0.8131610285542128,-0.5329605206970082,-0.2444055295643091,-146.758437805204,-0.8131610285542095,-0.532960520697006,-0.2444055295643458,-146.758437805204,-0.01653106088221708,0.029372997380971086,-29.446029557399477,119.37071727416199
1350000000.0,-0.012370865251563298,0.030845853546003853,-29.56832318471249,111.853470375527,-0.8607639220196939,-0.4498783795023376,-0.25347824072378355,-152.406175455867,-0.8607639220196912,-0.4498783795023362,-0.25347824072381037,-152.406175455867,-0.013993277134944634,0.03001256880353493,-29.59965187824047,114.997156142383
1400000000.0,-0.009697114778682873,0.030931225690513636,-29.784903686060247,107.406504094682,-0.8999333198011751,-0.36258885317804107,-0.2624857016282799,-158.055181220697,-0.8999333198011732,-0.3625888531780403,-0.26248570162829876,-158.055181220697,-0.011437005835362944,0.03024313307962032,-29.80695818741396,110.715048235247
1450000000.0,-0.0070929307442986166,0.03059050765027152,-30.06083962946777,103.054322419824,-0.9303021726922696,-0.2719410790111048,-0.27142933496843946,-163.705578185404,-0.9303021726922686,-0.27194107901110454,-0.2714293349684494,-163.705578185404,-0.008931039903093251,0.030064492411817172,-30.07165064949357,106.544721775829
1500000000.0,-0.004629036541632943,0.029838189000254506,-30.401263704982554,98.8184533436069,-0.9515878466871964,-0.17881581454458761,-0.28031259658569196,-169.357481843109,-0.9515878466871954,-0.17881581454458745,-0.28031259658570096,-169.357481843109,-0.006543881380979326,0.029488071141307873,-30.39829611153469,102.512099238124
1550000000.0,-0.0023733399996443507,0.02870055078094669,-30.812598689776895,94.7272150062547,-0.9635948693013535,-0.08411723041787318,-0.2891406642204243,-175.010999236185,-0.9635948693013535,-0.08411723041787318,-0.2891406642204243,-175.010999236185,-0.004341821061371285,0.028536822284013053,-30.792498858783965,98.651091906087
1600000000.0,-0.00038901057539082447,0.027215135151172555,-31.302902851094892,90.8189246991845,-0.9662169061180197,0.01123555740517865,-0.2979201446508518,179.33377174196,-0.9662169061180197,0.01123555740517865,-0.2979201446508518,179.33377174196,-0.0023870378762021163,0.027244829692368158,-31.26110772279302,95.00714617354741
1650000000.0,0.0012673494165096587,0.02542991561317319,-31.882328327646576,87.1469136663661,-0.9594379364374943,0.10631714690242632,-0.30665879894690384,173.676742908362,-0.9594379364374943,0.10631714690242632,-0.30665879894690384,173.676742908362,-0.0007357624353497824,0.025656609175890372,-31.812444708935317,91.64263841190481
1700000000.0,0.0025473973489087407,0.023402183014028792,-32.5637156282233,83.78764331146891,-0.9433326031959098,0.20020462686804108,-0.31536528415769316,168.017836235311,-0.9433326031959064,0.2002046268680574,-0.31536528415769316,168.01783623531,0.0005634513104647059,0.023826117141982354,-32.45650643206716,88.6452947531033
1750000000.0,0.003412566407252873,0.021197166993327302,-33.36331579116355,80.8543337946213,-0.9180657193306571,0.2919863935191126,-0.32404890874996756,162.356984193115,-0.9180657193306571,0.2919863935191126,-0.32404890874996756,162.356984193115,0.0014713028948777826,0.021815480538005454,-33.20499493864641,86.1416398822664
1800000000.0,0.003835367030539133,0.01888641692070574,-34.30150167413889,78.5207368853179,-0.8838909203282618,0.38077092578143606,-0.33271939855537813,156.694129998449,-0.8838909203282618,0.38077092578143606,-0.33271939855537813,156.694129998449,0.0019591280472533923,0.019693467269505886,-34.07078765246614,84.318844037774
1850000000.0,0.0038004373428840855,0.016545970905507426,-35.40287221776179,77.0641280195695,-0.8411484606690645,0.46569543583206013,-0.3413866698786141,151.029227768112,-0.8411484606690645,0.46569543583206013,-0.3413866698786141,151.029227768112,0.0020100457805738913,0.017533722013890647,-35.06581418336989,83.4602265518313
1900000000.0,0.003305308386666722,0.01425434637989002,-36.693600987774495,76.9449331820906,-0.790262160201818,0.5459343098850629,-0.3500606067543604,145.362242570298,-0.790262160201818,0.5459343098850629,-0.3500606067543604,145.362242570298,0.0016198299487158838,0.015412798579181056,-36.1946639782687,84.0004429047576
1950000000.0,0.0023608525897386807,0.012090391190809326,-38.188679114889055,78.9510624991546,-0.7317355151087168,0.6207072533776663,-0.35875084007859465,139.693150358529,-0.731735515108716,0.6207072533776657,-0.3587508400786037,139.693150358529,0.0007974677629475003,0.013408026733572784,-37.4373665951588,86.5962349165376
2000000000.0,0.0009913873668264204,0.01013104010348018,-39.84552964826336,84.4110342718944,-0.6661469970610102,0.6892870546587495,-0.3674665274179395,134.021937767948,-0.6661469970610102,0.6892870546587495,-0.3674665274179395,134.021937767948,-0.00043462870956721927,0.011595258706012775,-38.70829359484774,92.146630666638
2049999999.9999998,-0.0007655895365965782,0.008449027993338685,-41.42835213603245,95.1775877088914,-0.5941445734350354,0.7510068820628177,-0.3762161336355587,128.348601750286,-0.5941445734350348,0.751006882062817,-0.3762161336355668,128.348601750286,-0.002040787009401659,0.010046548150658408,-39.78405790767283,101.482440013669
2100000000.0,-0.0028600500214737293,0.007110617499207381,-42.31060384478497,111.911098778599,-0.5164394910622533,0.8052670309855312,-0.38500721396585497,122.67314902289301,-0.5164394910622533,0.8052670309855312,-0.38500721396585497,122.67314902289301,-0.003972636779517318,0.008827821950534455,-40.282034800707976,114.228376279573
2150000000.0,-0.005230479739488874,0.006173405079874814,-41.83965297040312,130.27327519412,-0.43379937588813006,0.8515410404259209,-0.39384620271304227,116.995595309018,-0.4337993758881305,0.8515410404259218,-0.3938462027130332,116.995595309018,-0.006170083374428823,0.007996612329774801,-39.91332826025608,127.653316574237
2200000000.0,-0.00780531476380302,0.005684274667553659,-40.30426069280818,143.935760857907,-0.3470407110107577,0.8893811026212839,-0.40273821222700523,111.3159643511,-0.3470407110107577,0.8893811026212839,-0.40273821222700523,111.3159643511,-0.008562694433555881,0.007599922737540536,-38.82468333094633,138.408955844307
2250000000.0,-0.010504756792925651,0.005677571744915784,-38.459269635454596,151.60983052818,-0.25702076567459675,0.9184226950742463,-0.41168684811309003,105.63428668607,-0.25702076567459675,0.9184226950742463,-0.41168684811309003,105.63428668607,-0.011071487830545509,0.007672305149699256,-37.41261914497383,145.278865524407
2300000000.0,-0.01324293850958506,0.006173571937597083,-36.70625695561685,155.006083315482,-0.1646290576297639,0.9383883716306001,-0.4206940476553983,99.95059818119,-0.16462905762976573,0.9383883716306007,-0.4206940476553892,99.9505981811901,-0.013611094039087702,0.008234228053697938,-35.96768957936922,148.827552807045
2350000000.0,-0.015930394989543555,0.007177316386589297,-35.15285493484781,155.746422071749,-0.07077844047341879,0.9490906584182767,-0.42975994908897913,94.26493834046,-0.07077844047341879,0.9490906584182767,-0.42975994908897913,94.26493834046,-0.01609224917452059,0.009290812715794426,-34.61828973941583,150.000137995489
2400000000.0,-0.018476780695614748,0.008677880633650934,-33.80179587488837,154.842240864057,0.023604084263436517,0.950434011414463,-0.4388827995728895,88.5773484042725,0.02360408426343483,0.950434011414463,-0.43888279957289056,88.5773484042726,-0.018424557557093484,0.010831009773000482,-33.40297584461119,149.550549781798
2450000000.0,-0.020793755578741583,0.01064813411210692,-32.62995885882311,152.883774132861,0.11758672389037204,0.9424158050537411,-0.44805890944907734,82.8878692783366,0.11758672389037038,0.9424158050537413,-0.44805890944907734,82.8878692783367,-0.020519445600441655,0.012827278346677923,-32.324087826458786,147.989346606403
2500000000.0,-0.022797949286943796,0.013045033468781187,-31.612016492197657,150.221721305083,0.2102423091437822,0.9251263353728494,-0.45728265960057407,77.1965393409521,0.21024230914378078,0.9251263353728507,-0.45728265960056497,77.1965393409522,-0.022293213324799988,0.015235815631735091,-31.372025146148545,145.650188751353
2550000000.0,-0.024413900672841098,0.015810475086099195,-30.726246736545875,147.072851647606,0.30065765325254284,0.8987478363119235,-0.4665465674545223,71.5033921898397,0.30065765325254284,0.8987478363119235,-0.4665465674545223,71.5033921898397,-0.023670077067248323,0.017997366516624643,-30.53460418197219,142.75272759841104
2600000000.0,-0.025576861864340543,0.018872710943688982,-29.955259700776907,143.577044457394,0.3879427425429989,0.8635525234371699,-0.47584141544805847,65.80845440009661,0.38794274254299926,0.8635525234371708,-0.47584141544804937,65.80845440009661,-0.024585088204761234,0.021038620856769493,-29.80032525118211,139.444834155542
2650000000.0,-0.026235353119448118,0.02214830834073159,-29.28544651539486,139.828403050111,0.4712396488713257,0.819899694899058,-0.48515644364810867,60.11174337277599,0.4712396488713257,0.819899694899058,-0.48515644364810867,60.11174337277599,-0.02498680894273415,0.02427418154683556,-29.15932838023189,135.82880376181
2700000000.0,-0.026353357226346484,0.025544609285008357,-28.706238601335883,135.892792077386,0.5497310602243728,0.7682319342234875,-0.49447960577736566,54.4132653584795,0.5497310602243728,0.7682319342234875,-0.49447960577736566,54.4132653584795,-0.024839628182176013,0.027609060813835882,-28.60351538852028,131.977434891149
2750000000.0,-0.025912050639771433,0.028962621035462193,-28.209460411185955,131.818111462812,0.622648334509397,0.7090704728823453,-0.503797885249477,48.7130137417538,0.622648334509397,0.7090704728823453,-0.503797885249477,48.7130137417538,-0.02412560850295313,0.030941636689472328,-28.126400918961526,127.94401967103701
2800000000.0,-0.02491098271803599,0.03230024692007651,-27.78882432842607,127.640557696114,0.6892789924731921,0.6430097818929729,-0.5130976650775383,43.0109676696842,0.6892789924731915,0.6430097818929722,-0.5130976650775465,43.0109676696842,-0.022845769279579677,0.03416697799702026,-27.72290246189394,123.768689570298
2850000000.0,-0.023368633738703678,0.035455747610379354,-27.439553591481477,123.388595607117,0.7489735782990233,0.5707114704566584,-0.5223651428151045,37.307091101763,0.7489735782990226,0.5707114704566578,-0.5223651428151137,37.307091101763,-0.02102073031485413,0.037180425910884066,-27.389144133437174,119.48255378377401
2900000000.0,-0.021322305816512236,0.03833130875420657,-27.15810743220367,119.085587993675,0.8011518300416106,0.49289757553015906,-0.531586779147577,31.6013323479222,0.8011518300416106,0.49289757553015906,-0.531586779147577,31.6013323479222,-0.01869066415958788,0.039881304501807345,-27.12229751853929,115.11047982787899
2950000000.0,-0.018827327112283417,0.040836582133762754,-26.94198512005194,114.751625616954,0.8453081159119161,0.41034332909711513,-0.5407497664984657,25.893624147795897,0.8453081159119161,0.41034332909711513,-0.5407497664984657,25.893624147795897,-0.015914532193207223,0.042176622615417755,-26.920464118493655,110.673028158084
3000000000.0,-0.015955577326321194,0.04289206478601441,-26.78959102132496,110.404883306211,0.8810161057312439,0.32386948985332087,-0.5498425021649727,20.183884327208496,0.8810161057312429,0.32386948985332054,-0.549842502164983,20.1838843272085,-0.012768608095376242,0.043984625480178584,-26.782598036402888,106.187858449631
